umbral,precision,recall,f1,FP,FN,costo
0.05,0.4178082191780822,0.8970588235294118,0.5700934579439252,85,7,155
0.1,0.59375,0.8382352941176471,0.6951219512195121,39,11,149
0.15,0.7571428571428571,0.7794117647058824,0.7681159420289855,17,15,167
0.2,0.803030303030303,0.7794117647058824,0.7910447761194029,13,15,163
0.25,0.8548387096774194,0.7794117647058824,0.8153846153846154,9,15,159
0.3,0.864406779661017,0.75,0.8031496062992126,8,17,178
0.35,0.9090909090909091,0.7352941176470589,0.8130081300813008,5,18,185
0.4,0.9259259259259259,0.7352941176470589,0.819672131147541,4,18,184
0.45,0.9259259259259259,0.7352941176470589,0.819672131147541,4,18,184
0.5,0.9615384615384616,0.7352941176470589,0.8333333333333334,2,18,182
0.55,1.0,0.7352941176470589,0.847457627118644,0,18,180
0.6,1.0,0.7352941176470589,0.847457627118644,0,18,180
0.65,1.0,0.7205882352941176,0.8376068376068376,0,19,190
0.7,1.0,0.6911764705882353,0.8173913043478261,0,21,210
0.75,1.0,0.6911764705882353,0.8173913043478261,0,21,210
0.8,1.0,0.6764705882352942,0.8070175438596491,0,22,220
0.85,1.0,0.6323529411764706,0.7747747747747747,0,25,250
0.9,1.0,0.5,0.6666666666666666,0,34,340
0.95,1.0,0.27941176470588236,0.4367816091954023,0,49,490
