modelo,fold,f1
SVM,1,0.5230769230769231
SVM,2,0.45614035087719296
SVM,3,0.41379310344827586
SVM,4,0.5862068965517241
SVM,5,0.5901639344262295
Arbol de decision,1,0.625
Arbol de decision,2,0.6857142857142857
Arbol de decision,3,0.5
Arbol de decision,4,0.704225352112676
Arbol de decision,5,0.45454545454545453
Random Forest,1,0.7323943661971831
Random Forest,2,0.65625
Random Forest,3,0.5714285714285714
Random Forest,4,0.6774193548387096
Random Forest,5,0.6363636363636364
Gradient Boosting,1,0.8169014084507042
Gradient Boosting,2,0.6666666666666666
Gradient Boosting,3,0.6197183098591549
Gradient Boosting,4,0.696969696969697
Gradient Boosting,5,0.6666666666666666
